id,rtti_name,short_name,vtable_rva
231,KillEvent,kill,0x2b472c8
232,KillCheckEvent,killcheck,0x2a5ebd8
233,KilledEvent,killed,0x2b471b0
234,KilledComponentEvent,killedcomponent,0x2b47178
235,LaserTowerLaunchedEvent,lasertowerlaunched,0x2b453b8
236,LeaveScenarioConsoleEvent,leavescenarioconsole,0x2ae57f8
237,LeftFormationEvent,leftformation,0x2b4bbf8
238,LicenceAddedEvent,licenceadded,0x2b44c80
239,LicenceLostEvent,licencelost,0x2b44b68
240,LockAcquiredEvent,lockacquired,0x2b44318
241,LockboxOpenedEvent,lockboxopened,0x2b42b78
242,LockInitiatedEvent,lockinitiated,0x2b44200
243,LockLostEvent,locklost,0x2b441c8
244,LongRangeScanPingEvent,longrangescanping,0x2b442a8
245,LongRangeScanSentEvent,longrangescansent,0x2b44350
246,MappedBoundsChangedEvent,mappedboundschanged,0x2b42558
247,MassTrafficNetworkRemovedEvent,masstrafficnetworkremoved,0x2b462d0
248,MineLaunchedEvent,minelaunched,0x2b45268
249,MissileLaunchedEvent,missilelaunched,0x2b444a0
250,MissionInfoUpdateEvent,missioninfoupdate,0x2b4be28
251,MissionObjectiveBarUpdateEvent,missionobjectivebarupdate,0x2b4bdf0
252,MissionObjectiveHintUpdateEvent,missionobjectivehintupdate,0x2b440e8
253,MissionOfferAddedEvent,missionofferadded,0x2c0b988
254,MissionOfferRemovedEvent,missionofferremoved,0x2c0b9f8
255,MissionOfferUpdatedEvent,missionofferupdated,0x2b44510
256,MissionRemovedEvent,missionremoved,0x2c0b9c0
257,MoneyUpdatedEvent,moneyupdated,0x2b444d8
258,MovedIntoInternalStorageEvent,movedintointernalstorage,0x2b46068
259,NavBeaconLaunchedEvent,navbeaconlaunched,0x2b452d8
260,NavHelperGeneratedEvent,navhelpergenerated,0x2b4b8b0
261,NavHelperRegeneratedEvent,navhelperregenerated,0x2b4b878
262,NotificationFreedEvent,notificationfreed,0x29edf10
263,NPCCreatedEvent,npccreated,0x2b46e68
264,NPCFinishWalkEvent,npcfinishwalk,0x2b466c0
265,NPCSlotsValidatedEvent,npcslotsvalidated,0x2b430f0
266,NPCWalkFinishedEvent,npcwalkfinished,0x2ae5b08
267,ObjectAbandonedEvent,objectabandoned,0x2a5e8c8
268,ObjectChangedOwnerEvent,objectchangedowner,0x2b459d8
269,ObjectChangedStateEvent,objectchangedstate,0x2b459a0
270,ObjectChangedStateInLiveViewEvent,objectchangedstateinliveview,0x2b434e0
271,ObjectChangedTrueOwnerEvent,objectchangedtrueowner,0x2b45188
272,ObjectCollidedEvent,objectcollided,0x2b43710
273,ObjectCommanderSetEvent,objectcommanderset,0x2b44f90
274,ObjectDefenceDroneModeChangedEvent,objectdefencedronemodechanged,0x2b447b0
275,ObjectDefenceDronesArmedEvent,objectdefencedronesarmed,0x2a86b68
276,ObjectDefenceDronesDisarmedEvent,objectdefencedronesdisarmed,0x2a86a18
277,ObjectDockAssignedEvent,objectdockassigned,0x2b450e0
278,ObjectDockedEvent,objectdocked,0x2b45150
279,ObjectDockingStartedEvent,objectdockingstarted,0x2b451f8
280,ObjectDockUnassignedEvent,objectdockunassigned,0x2b44fc8
281,ObjectEnteredEvent,objectentered,0x2b45968
282,ObjectEnteredLiveViewEvent,objectenteredliveview,0x2b4bdb8
283,ObjectEnteredPlayerViewEvent,objectenteredplayerview,0x2b4b990
284,ObjectLaunchedCountermeasureEvent,objectlaunchedcountermeasure,0x2b45310
285,ObjectLaunchedDistressDroneEvent,objectlauncheddistressdrone,0x2b44970
286,ObjectLaunchedLaserTowerEvent,objectlaunchedlasertower,0x2b45380
287,ObjectLaunchedMineEvent,objectlaunchedmine,0x2b45230
288,ObjectLaunchedNavBeaconEvent,objectlaunchednavbeacon,0x2b452a0
289,ObjectLaunchedResourceProbeEvent,objectlaunchedresourceprobe,0x2b44a50
290,ObjectLaunchedSatelliteEvent,objectlaunchedsatellite,0x2b44ac0
291,ObjectLeftEvent,objectleft,0x2b45930
292,ObjectLeftLiveViewEvent,objectleftliveview,0x2b4bd80
293,ObjectLeftPlayerViewEvent,objectleftplayerview,0x2b4b958
294,ObjectMiningDroneModeChangedEvent,objectminingdronemodechanged,0x2b44858
295,ObjectMiningDronesArmedEvent,objectminingdronesarmed,0x2a86a50
296,ObjectMiningDronesDisarmedEvent,objectminingdronesdisarmed,0x2a86a88
297,ObjectMovedIntoInternalStorageEvent,objectmovedintointernalstorage,0x2b46030
298,ObjectOpenedLockboxEvent,objectopenedlockbox,0x2b42c20
299,ObjectPickedUpEvent,objectpickedup,0x2b45f50
300,ObjectRelationRangeChangedEvent,objectrelationrangechanged,0x2b44c10
301,ObjectRetrievedFromInternalStorageEvent,objectretrievedfrominternalstorage,0x2b460a0
302,ObjectSignalledEvent,objectsignalled,0x2b43438
303,ObjectTransportDroneModeChangedEvent,objecttransportdronemodechanged,0x2b44820
304,ObjectTransportDronesArmedEvent,objecttransportdronesarmed,0x2a86ac0
305,ObjectTransportDronesDisarmedEvent,objecttransportdronesdisarmed,0x2a869a8
306,ObjectTriggeredEvent,objecttriggered,0x2b436d8
307,ObjectUndockedEvent,objectundocked,0x2b451c0
308,ObjectUndockingStartedEvent,objectundockingstarted,0x2b450a8
309,ObjectWeaponModeChangedEvent,objectweaponmodechanged,0x2b44e08
310,ObservationStartedEvent,observationstarted,0x2b43a90
311,ObservationStoppedEvent,observationstopped,0x2b43a58
312,,onlinemissionofferrequested,
313,,onlineoperationupdated,
314,OpenLockboxEvent,openlockbox,0x2b42be8
315,OpenScenarioSelectionMenuEvent,openscenarioselectionmenu,0x2b42360
316,OutOfAmmoEvent,outofammo,0x2b46928
317,OxygenEmptyEvent,oxygenempty,0x2b26c20
318,OxygenLowEvent,oxygenlow,0x2b42cc8
319,PaidBuildPlotChangedEvent,paidbuildplotchanged,0x2b46c70
320,PauseEvent,pause,0x2b4bf40
321,PerformTransporterTransitionEvent,performtransportertransition,0x2b465a8
322,PhaseStartedEvent,phasestarted,0x2b424b0
323,PhysicalChildAddedEvent,physicalchildadded,0x2b44f58
324,PhysicalChildChangedSizeEvent,physicalchildchangedsize,0x2b44f20
325,PhysicalChildRemovedEvent,physicalchildremoved,0x2b45508
326,PickedUpObjectEvent,pickedupobject,0x2b45ff8
327,PlatformActorCreatedEvent,platformactorcreated,0x2b43ba8
328,PlatformTriggerActivatedEvent,platformtriggeractivated,0x2b43160
329,PlatformTriggerDeactivatedEvent,platformtriggerdeactivated,0x2b43128
330,PlatformTriggerUnlockedEvent,platformtriggerunlocked,0x2b430b8
331,PlayAmmunitionReloadFinishedSoundEvent,playammunitionreloadfinishedsound,0x2b26d38
332,PlayerAlertEvent,playeralert,0x2b434a8
333,PlayerBlueprintAddedEvent,playerblueprintadded,0x2b46960
334,PlayerBuildTaskAddedEvent,playerbuildtaskadded,0x2b46ae8
335,PlayerCameraModeChangedEvent,playercameramodechanged,0x2b3af88
336,PlayerChangedTargetEvent,playerchangedtarget,0x2b43358
337,PlayerCraftedAmmoEvent,playercraftedammo,0x2b46880
338,PlayerCreatedEvent,playercreated,0x2ae5830
339,PlayerDetectedObjectEvent,playerdetectedobject,0x2b47568
340,PlayerDiscoveredComponentEvent,playerdiscoveredcomponent,0x2b47680
341,PlayerDiscoveredMissionOfferEvent,playerdiscoveredmissionoffer,0x2b476b8
342,PlayerHackedObjectEvent,playerhackedobject,0x2b44120
343,PlayerInteractionEvent,playerinteraction,0x2b455b0
344,PlayerInterfaceUpdatedEvent,playerinterfaceupdated,0x2ae58d8
345,PlayerOwnedObjectAttackedObjectEvent,playerownedobjectattackedobject,0x2b45ab8
346,PlayerOwnedObjectCollectedResourceEvent,playerownedobjectcollectedresource,0x2b46730
347,PlayerOwnedObjectDroppedObjectEvent,playerownedobjectdroppedobject,0x2b43470
348,PlayerOwnedObjectKilledObjectEvent,playerownedobjectkilledobject,0x2b471e8
349,PlayerOwnedObjectKilledEvent,playerownedobjectwaskilled,0x2b47220
350,PlayerPriceModifierAddedEvent,playerpricemodifieradded,0x2b468f0
351,PlayerPriceModifiersUpdatedEvent,playerpricemodifiersupdated,0x2ae5b40
352,PlayerResearchAddedEvent,playerresearchadded,0x2b468b8
353,PlayerShipHitEvent,playershiphit,0x2b45a80
354,PlayerTradeDiscoveredEvent,playertradediscovered,0x2b47530
355,PlayerVisibleRoomAddedEvent,playervisibleroomadded,0x2b42c90
356,PlayerVisibleRoomRemovedEvent,playervisibleroomremoved,0x2b42c58
357,PlayerWarningEvent,playerwarning,0x2b43be0
358,PlayRandomNoiseEvent,playrandomnoise,0x2b44708
359,PlaySoundEvent,playsound,0x2b44190
360,POIAddedEvent,poiadded,0x2b4be98
361,POIRemovedEvent,poiremoved,0x2b4be60
362,PrimaryWeaponRangeRequestedEvent,primaryweaponrangerequested,0x2b42f68
363,ProcessAssignedRecyclableObjectEvent,processassignedrecyclableobject,0x2b42018
364,ProcessingModuleAvailableEvent,processingmoduleavailable,0x2b41fa8
365,ProductionCancelledEvent,productioncancelled,0x2b46f48
366,ProductionFinishedEvent,productionfinished,0x2b46f10
367,ProductionPausedEvent,productionpaused,0x2b46f80
368,ProductionResumedEvent,productionresumed,0x2b46ed8
369,ProductionStartedEvent,productionstarted,0x2b47028
370,PropsDespawningEvent,propsdespawning,0x2b46df8
371,PropsGeneratedEvent,propsgenerated,0x2b46e30
